Size,Sorted,Random,Reverse,Bubble,Selection,Insertion,Merge,Quick,Heap,Best
600,0,1,0,0.03369729777416551,0.013271805751754576,0.01684868192098227,0.0033885298005069593,0.001506039895207049,0.0035768259002501705,4
600,0,0,1,0.050339443137846794,0.017458414456930506,0.03336385071995747,0.0029178412563829535,0.02400228776127459,0.002353119562907391,5
610,1,0,0,0.017733892780140134,0.014326600209335608,9.583402996414278e-05,0.0027796841837877144,0.035217896560949785,0.002971587736913763,2
610,0,1,0,0.03383795030277931,0.014187369609902974,0.01850075663233096,0.0027799094381507922,0.0012461641814811098,0.0027799079754601227,4
610,0,0,1,0.04591639934141943,0.01476226262519696,0.03923998581119842,0.0031633596478795713,0.030510881927115787,0.004601219680411684,3
620,1,0,0,0.02377735309719299,0.016548589149617262,9.704228513729498e-05,0.0028144513598139984,0.03992767215515516,0.0038819624030071755,2
620,0,1,0,0.03823779680714104,0.016632727214268277,0.015916374159155425,0.0029114862406475943,0.001164591830709706,0.0026203445766283117,4
620,0,0,1,0.04681205157167423,0.015334083426813161,0.032746748894638154,0.002717404632094484,0.023827493560980566,0.002620343095767572,5
630,1,0,0,0.017800646492197543,0.016317224200767807,0.0001975494095041782,0.00356011601943004,0.040447244161291966,0.0032634282413917253,2
630,0,1,0,0.040739709817910495,0.01700969285602811,0.020215837261344814,0.0026701190803624405,0.0013844740541675423,0.0034612417221069336,4
630,0,0,1,0.047713949710507936,0.01572389391404164,0.033655907534345796,0.0027690190303174757,0.02482172507274,0.002670351463028147,5
640,1,0,0,0.019831730769230768,0.01632609581335997,0.00020032509779318786,0.002904667304112361,0.036758818687536776,0.0030045509338378906,2
640,0,1,0,0.03705952717707707,0.021133815630888328,0.024590955330775335,0.004707509126418676,0.002103162117493458,0.004607597986857097,4
640,0,0,1,0.06294267758344993,0.018830119035182856,0.040765467362526134,0.002904647435897436,0.02664261445021018,0.003004798522362342,3
650,1,0,0,0.018586598190606807,0.016461576511657316,0.00030637254901960784,0.0031658216239580142,0.03788834615470537,0.003165851231493981,2
650,0,1,0,0.0389093137254902,0.015931341383192275,0.017644481721267202,0.0030637005575342114,0.001327645544912301,0.002961595074024076,4
650,0,0,1,0.06035515529657501,0.017055029962577073,0.04133675924313614,0.0028594817990571066,0.02873663341297823,0.0026549778732598995,5
660,1,0,0,0.02028175221373703,0.01886943791875776,0.00020696311597003054,0.0032077988251945043,0.041080279066073186,0.0033112772253175446,2
660,0,1,0,0.03769931098483256,0.016556357705829947,0.021419624619136584,0.0030008499196033604,0.0012416981703398243,0.0033112614360076703,4
660,0,0,1,0.05701573795040712,0.01665976031726559,0.05052327478168816,0.0038286486998299098,0.036690961446193666,0.004035635499764752,3
670,1,0,0,0.024788808502606896,0.02160207857221565,0.00020973314374885302,0.0031462531761835087,0.04997040121347312,0.0035654362416107383,2
670,0,1,0,0.04344865779748699,0.016988255033557047,0.01902502015133032,0.0031459571531154964,0.0013632678345545826,0.0031459683539883402,4
670,0,0,1,0.05404345941223554,0.0183515084669894,0.03670299133198373,0.0027263020509041397,0.03187916742875272,0.003355752701727336,3
